id, date, sales, stock
1, 2023-09-01, 10, 50
1, 2023-09-02, 10, 50
1, 2023-09-03, 10, 50
1, 2023-09-04, 10, 50
1, 2023-09-05, 10, 50
2, 2023-09-01, 10, 10
2, 2023-09-02, 0, 0
2, 2023-09-03, 10, 50
2, 2023-09-04, 10, 50
2, 2023-09-05, 10, 50
3, 2023-01-01, 10, 100
3, 2023-01-02, 20, 90
4, 2023-01-02, 2734, 6818
4, 2023-01-03, 462, 9655
4, 2023-01-04, 3298, 4659
4, 2023-01-05, 306, 3594
4, 2023-01-06, 1463, 2786
4, 2023-01-07, 1759, 6151
4, 2023-01-08, 4345, 10375
4, 2023-01-09, 4309, 7857
4, 2023-01-10, 4786, 7507
4, 2023-01-11, 3974, 5772
4, 2023-01-12, 2333, 7432
4, 2023-01-13, 1598, 1914
4, 2023-01-14, 2365, 8539
4, 2023-01-15, 3070, 12345
4, 2023-01-16, 3965, 10492
4, 2023-01-17, 2349, 11456
4, 2023-01-18, 3321, 7550
4, 2023-01-19, 2204, 9877
4, 2023-01-20, 2178, 6262
4, 2023-01-21, 2526, 12518
4, 2023-01-22, 3309, 7801
4, 2023-01-23, 2909, 8380
4, 2023-01-24, 1794, 4360
4, 2023-01-25, 324, 1350
4, 2023-01-26, 3990, 11738
4, 2023-01-27, 2192, 10960
4, 2023-01-28, 4241, 6554
4, 2023-01-29, 3603, 11193
4, 2023-01-30, 4613, 9655
4, 2023-01-31, 2403, 7862
4, 2023-02-01, 4674, 8576
4, 2023-02-02, 4958, 11938
4, 2023-02-03, 3757, 6157
4, 2023-02-04, 1037, 3061
4, 2023-02-05, 1225, 7847
4, 2023-02-06, 3548, 12500
4, 2023-02-07, 2585, 10591
4, 2023-02-08, 3284, 8701
4, 2023-02-09, 1643, 8424
4, 2023-02-10, 103, 6463
4, 2023-02-11, 349, 5225
4, 2023-02-12, 4562, 5018
5, 2023-02-13, 1090, 5979
5, 2023-02-14, 3258, 11789
5, 2023-02-15, 3170, 5373
5, 2023-02-16, 578, 1760
5, 2023-02-17, 914, 10046
5, 2023-02-18, 3363, 11475
5, 2023-02-19, 4555, 7847
5, 2023-02-20, 4413, 12166
5, 2023-02-21, 2563, 9441
5, 2023-02-22, 12, 2386
5, 2023-02-23, 4758, 5263
5, 2023-02-24, 3989, 11703
5, 2023-02-25, 3041, 5055
5, 2023-02-26, 682, 6734
5, 2023-02-27, 4297, 5639
5, 2023-02-28, 1056, 6892
5, 2023-03-01, 1185, 4957
5, 2023-03-02, 2434, 6689
5, 2023-03-03, 3605, 5395
5, 2023-03-04, 2871, 3471
5, 2023-03-05, 2594, 3131
5, 2023-03-06, 3924, 8316
5, 2023-03-07, 3672, 8600
5, 2023-03-08, 3305, 6049
5, 2023-03-09, 1108, 7268
5, 2023-03-10, 4289, 9880
5, 2023-03-11, 3800, 8306
5, 2023-03-12, 3963, 5481
5, 2023-03-13, 2487, 4002
5, 2023-03-14, 4304, 6254
5, 2023-03-15, 4969, 7641
5, 2023-03-16, 3067, 3396
5, 2023-03-17, 1672, 1695
5, 2023-03-18, 4512, 9686
5, 2023-03-19, 4234, 6424
5, 2023-03-20, 2458, 8915
5, 2023-03-21, 2125, 2771
5, 2023-03-22, 4161, 10975
5, 2023-03-23, 264, 2143
5, 2023-03-24, 959, 4558
5, 2023-03-25, 2137, 10079
5, 2023-03-26, 521, 2316
6, 2023-03-27, 1093, 2380
6, 2023-03-28, 3575, 7823
6, 2023-03-29, 2934, 3864
6, 2023-03-30, 2756, 6293
6, 2023-03-31, 4417, 8408
6, 2023-04-01, 4113, 5056
6, 2023-04-02, 4878, 6874
6, 2023-04-03, 1981, 7136
6, 2023-04-04, 1601, 8010
6, 2023-04-05, 353, 3432
6, 2023-04-06, 4991, 11120
