id, month, coef
1, 9, 0.1
1, 10, 3
2, 9, 3
2, 10, 2
3, 1, 0.5
3, 2, 1
3, 3, 2
4, 1, 0.22
4, 2, 1.09
4, 3, 0.79
4, 4, 2.54
4, 5, 0.06
4, 6, 1.63
4, 7, 1.22
4, 8, 2.70
4, 9, 1.00
4, 10, 2.43
4, 11, 2.03
4, 12, 2.98
5, 1, 1.12
5, 2, 2.58
5, 3, 0.70
5, 4, 1.48
5, 5, 0.35
5, 6, 0.69
5, 7, 1.09
5, 8, 2.29
5, 9, 1.22
5, 10, 1.23
5, 11, 2.20
5, 12, 0.10
6, 1, 2.69
6, 2, 1.57
6, 3, 1.44
6, 4, 0.12
6, 5, 2.50
6, 6, 0.65
6, 7, 2.16
6, 8, 2.15
6, 9, 1.74
6, 10, 2.41
6, 11, 1.43
6, 12, 0.23
7, 1, 1.51
7, 2, 1.45
7, 3, 1.54
7, 4, 0.29
7, 5, 0.26
7, 6, 0.21
7, 7, 0.89
7, 8, 1.05
7, 9, 2.12
7, 10, 2.85
7, 11, 2.18
7, 12, 1.66
8, 1, 0.97
8, 2, 0.97
8, 3, 2.93
8, 4, 2.14
8, 5, 0.68
8, 6, 0.92
8, 7, 1.94
8, 8, 0.31
8, 9, 0.48
8, 10, 1.80
8, 11, 2.86
8, 12, 2.47
9, 1, 0.04
9, 2, 0.25
9, 3, 1.77
9, 4, 1.75
9, 5, 0.50
9, 6, 0.06
9, 7, 1.55
9, 8, 1.49
9, 9, 2.48
9, 10, 1.95
9, 11, 0.98
9, 12, 1.32
10, 1, 1.59
10, 2, 2.42
10, 3, 1.00
10, 4, 1.13
10, 5, 0.76
10, 6, 2.50
10, 7, 0.10
10, 8, 2.68
10, 9, 1.02
10, 10, 2.15
10, 11, 2.22
10, 12, 0.88
11, 1, 2.20
11, 2, 2.49
11, 3, 1.37
11, 4, 0.29
11, 5, 1.76
11, 6, 2.65
11, 7, 1.03
11, 8, 0.46
11, 9, 2.45
11, 10, 2.96
11, 11, 2.33
11, 12, 0.21
12, 1, 2.36
12, 2, 2.72
12, 3, 2.63
12, 4, 0.33
12, 5, 0.68
12, 6, 0.50
12, 7, 1.84
12, 8, 2.95
12, 9, 2.36
12, 10, 1.84
12, 11, 2.69
12, 12, 1.15
13, 1, 2.44
13, 2, 2.27
13, 3, 0.69
13, 4, 0.87
13, 5, 2.54
13, 6, 3.00
13, 7, 0.53
13, 8, 0.29
13, 9, 2.98
13, 10, 0.23
13, 11, 0.98
13, 12, 2.67
14, 1, 0.90
14, 2, 2.32
14, 3, 2.96
14, 4, 2.94
14, 5, 2.47
14, 6, 1.10
14, 7, 1.37
14, 8, 0.91
14, 9, 1.62
14, 10, 2.80
14, 11, 1.13
14, 12, 2.97
